region,horizon,ticker,exchange,duration_yrs,ytm_pct,maxdd_pct,dd_start,dd_end,ytd_pct,ret_1y_pct,ret_3y_pct,ret_5y_pct,a_or_above_pct,bbb_pct,order
EUR,Medium Term,EUNT,XETRA,2.71358,2.69,-9.96538646486107,2021-08-04,2024-09-27,3.014650084918369,3.3413594440020455,4.343945435808716,0.9353409394162737,48,52,1
EUR,Medium Term,EUN5,XETRA,4.46827,2.99,-16.96328659737286,2021-08-06,Ongoing,3.176619644345724,3.4128250580284014,4.669143222068595,-0.0938675874589956,49,51,2
GBP,Short Term,ERNS,LSE,0.27247,4.19,-0.9126227762649153,2020-03-03,2020-05-12,4.2815062139096804,4.91624388341565,5.053296273365482,3.2071127536238864,75,25,3
GBP,Medium Term,IS15,LSE,2.24617,4.47,-11.375067571383635,2021-09-13,2024-03-12,5.708180017564901,6.540971054824429,6.119012354824904,2.1241449904509713,54,46,4
GBP,Medium/Long,SLXX,LSE,5.76233,5.0,-28.561171114537064,2020-12-31,Ongoing,5.505560671045839,5.613802547501567,4.478460758828584,-1.4955554124093107,50,50,5
USD,Short Term,ICSH,US,0.55961,4.12,-1.823658667567185,2020-03-10,2020-05-01,4.496242831718411,5.016963549603393,5.412315706179083,3.3333842454293494,93,8,7
USD,Short Term,FLOT,US,0.01566,4.46,-9.048384115564534,2020-02-20,2020-08-05,4.4064301102988646,5.044820257443039,6.090106379414073,3.8140732691855694,95,5,6
USD,Medium Term,IGSB,US,2.6537,4.28,-9.002465425442862,2021-09-10,2024-03-27,6.602406931062577,6.842833812596649,6.180113560312117,2.331934852990991,56,44,8
USD,Medium/Long,IGIB,US,6.01459,4.81,-19.673895361205307,2021-08-04,2025-06-26,9.816515241983637,8.916426290039482,7.529441591729258,1.1016711832804171,51,49,9
USD,Medium/Long,USIG,US,6.51393,4.81,-20.487679158043747,2021-09-16,2025-09-11,8.36937376477107,7.14361050550667,6.442515391151726,0.31013176455534364,54,46,10
USD,Long Term,LQD,US,8.088,4.97,-23.67454781950539,2021-09-21,Ongoing,8.874881821441294,7.022780288063291,6.022012492521434,-0.5486169274251051,58,42,11
USD,Very Long Term,IGLB,US,12.23999,5.54,-32.25954203643592,2021-09-21,Ongoing,9.353678989814496,5.943066273515862,5.661795873304176,-2.461394422993879,57,43,12
